rulename,switchid,tcpsrc,tcpdst,outport
rule_s1_46110_to_5201_out_2,00:00:00:00:00:00:00:01,46110,5201,controller
rule_s2_46110_to_5201_out_4,00:00:00:00:00:00:00:02,46110,5201,controller
rule_s3_46110_to_5201_out_1,00:00:00:00:00:00:00:03,46110,5201,controller
rule_s4_46110_to_5201_out_3,00:00:00:00:00:00:00:04,46110,5201,controller
rule_s5_46110_to_5201_out_2,00:00:00:00:00:00:00:05,46110,5201,controller
rule_s1_46112_to_5202_out_2,00:00:00:00:00:00:00:01,46112,5202,controller
rule_s2_46112_to_5202_out_4,00:00:00:00:00:00:00:02,46112,5202,controller
rule_s3_46112_to_5202_out_1,00:00:00:00:00:00:00:03,46112,5202,controller
rule_s4_46112_to_5202_out_3,00:00:00:00:00:00:00:04,46112,5202,controller
rule_s5_46112_to_5202_out_2,00:00:00:00:00:00:00:05,46112,5202,controller
rule_s1_46114_to_5203_out_2,00:00:00:00:00:00:00:01,46114,5203,controller
rule_s2_46114_to_5203_out_4,00:00:00:00:00:00:00:02,46114,5203,controller
rule_s3_46114_to_5203_out_1,00:00:00:00:00:00:00:03,46114,5203,controller
rule_s4_46114_to_5203_out_3,00:00:00:00:00:00:00:04,46114,5203,controller
rule_s5_46114_to_5203_out_2,00:00:00:00:00:00:00:05,46114,5203,controller
rule_s1_46116_to_5204_out_2,00:00:00:00:00:00:00:01,46116,5204,controller
rule_s2_46116_to_5204_out_4,00:00:00:00:00:00:00:02,46116,5204,controller
rule_s3_46116_to_5204_out_1,00:00:00:00:00:00:00:03,46116,5204,controller
rule_s4_46116_to_5204_out_3,00:00:00:00:00:00:00:04,46116,5204,controller
rule_s5_46116_to_5204_out_2,00:00:00:00:00:00:00:05,46116,5204,controller
rule_s1_46118_to_5205_out_2,00:00:00:00:00:00:00:01,46118,5205,controller
rule_s2_46118_to_5205_out_4,00:00:00:00:00:00:00:02,46118,5205,controller
rule_s3_46118_to_5205_out_1,00:00:00:00:00:00:00:03,46118,5205,controller
rule_s4_46118_to_5205_out_3,00:00:00:00:00:00:00:04,46118,5205,controller
rule_s5_46118_to_5205_out_2,00:00:00:00:00:00:00:05,46118,5205,controller
rule_s1_46120_to_5206_out_2,00:00:00:00:00:00:00:01,46120,5206,controller
rule_s2_46120_to_5206_out_4,00:00:00:00:00:00:00:02,46120,5206,controller
rule_s3_46120_to_5206_out_1,00:00:00:00:00:00:00:03,46120,5206,controller
rule_s4_46120_to_5206_out_3,00:00:00:00:00:00:00:04,46120,5206,controller
rule_s5_46120_to_5206_out_2,00:00:00:00:00:00:00:05,46120,5206,controller
rule_s1_46122_to_5207_out_2,00:00:00:00:00:00:00:01,46122,5207,controller
rule_s2_46122_to_5207_out_4,00:00:00:00:00:00:00:02,46122,5207,controller
rule_s3_46122_to_5207_out_1,00:00:00:00:00:00:00:03,46122,5207,controller
rule_s4_46122_to_5207_out_3,00:00:00:00:00:00:00:04,46122,5207,controller
rule_s5_46122_to_5207_out_2,00:00:00:00:00:00:00:05,46122,5207,controller
rule_s1_46124_to_5208_out_2,00:00:00:00:00:00:00:01,46124,5208,controller
rule_s2_46124_to_5208_out_4,00:00:00:00:00:00:00:02,46124,5208,controller
rule_s3_46124_to_5208_out_1,00:00:00:00:00:00:00:03,46124,5208,controller
rule_s4_46124_to_5208_out_3,00:00:00:00:00:00:00:04,46124,5208,controller
rule_s5_46124_to_5208_out_2,00:00:00:00:00:00:00:05,46124,5208,controller
rule_s1_46126_to_5209_out_2,00:00:00:00:00:00:00:01,46126,5209,controller
rule_s2_46126_to_5209_out_4,00:00:00:00:00:00:00:02,46126,5209,controller
rule_s3_46126_to_5209_out_1,00:00:00:00:00:00:00:03,46126,5209,controller
rule_s4_46126_to_5209_out_3,00:00:00:00:00:00:00:04,46126,5209,controller
rule_s5_46126_to_5209_out_2,00:00:00:00:00:00:00:05,46126,5209,controller
rule_s1_46128_to_5210_out_2,00:00:00:00:00:00:00:01,46128,5210,controller
rule_s2_46128_to_5210_out_4,00:00:00:00:00:00:00:02,46128,5210,controller
rule_s3_46128_to_5210_out_1,00:00:00:00:00:00:00:03,46128,5210,controller
rule_s4_46128_to_5210_out_3,00:00:00:00:00:00:00:04,46128,5210,controller
rule_s5_46128_to_5210_out_2,00:00:00:00:00:00:00:05,46128,5210,controller
rule_s1_5201_to_46110_out_2,00:00:00:00:00:00:00:01,5201,46110,controller
rule_s2_5201_to_46110_out_4,00:00:00:00:00:00:00:02,5201,46110,controller
rule_s3_5201_to_46110_out_1,00:00:00:00:00:00:00:03,5201,46110,controller
rule_s4_5201_to_46110_out_3,00:00:00:00:00:00:00:04,5201,46110,controller
rule_s5_5201_to_46110_out_2,00:00:00:00:00:00:00:05,5201,46110,controller
rule_s1_5202_to_46112_out_2,00:00:00:00:00:00:00:01,5202,46112,controller
rule_s2_5202_to_46112_out_4,00:00:00:00:00:00:00:02,5202,46112,controller
rule_s3_5202_to_46112_out_1,00:00:00:00:00:00:00:03,5202,46112,controller
rule_s4_5202_to_46112_out_3,00:00:00:00:00:00:00:04,5202,46112,controller
rule_s5_5202_to_46112_out_2,00:00:00:00:00:00:00:05,5202,46112,controller
rule_s1_5203_to_46114_out_2,00:00:00:00:00:00:00:01,5203,46114,controller
rule_s2_5203_to_46114_out_4,00:00:00:00:00:00:00:02,5203,46114,controller
rule_s3_5203_to_46114_out_1,00:00:00:00:00:00:00:03,5203,46114,controller
rule_s4_5203_to_46114_out_3,00:00:00:00:00:00:00:04,5203,46114,controller
rule_s5_5203_to_46114_out_2,00:00:00:00:00:00:00:05,5203,46114,controller
rule_s1_5204_to_46116_out_2,00:00:00:00:00:00:00:01,5204,46116,controller
rule_s2_5204_to_46116_out_4,00:00:00:00:00:00:00:02,5204,46116,controller
rule_s3_5204_to_46116_out_1,00:00:00:00:00:00:00:03,5204,46116,controller
rule_s4_5204_to_46116_out_3,00:00:00:00:00:00:00:04,5204,46116,controller
rule_s5_5204_to_46116_out_2,00:00:00:00:00:00:00:05,5204,46116,controller
rule_s1_5205_to_46118_out_2,00:00:00:00:00:00:00:01,5205,46118,controller
rule_s2_5205_to_46118_out_4,00:00:00:00:00:00:00:02,5205,46118,controller
rule_s3_5205_to_46118_out_1,00:00:00:00:00:00:00:03,5205,46118,controller
rule_s4_5205_to_46118_out_3,00:00:00:00:00:00:00:04,5205,46118,controller
rule_s5_5205_to_46118_out_2,00:00:00:00:00:00:00:05,5205,46118,controller
rule_s1_5206_to_46120_out_2,00:00:00:00:00:00:00:01,5206,46120,controller
rule_s2_5206_to_46120_out_4,00:00:00:00:00:00:00:02,5206,46120,controller
rule_s3_5206_to_46120_out_1,00:00:00:00:00:00:00:03,5206,46120,controller
rule_s4_5206_to_46120_out_3,00:00:00:00:00:00:00:04,5206,46120,controller
rule_s5_5206_to_46120_out_2,00:00:00:00:00:00:00:05,5206,46120,controller
rule_s1_5207_to_46122_out_2,00:00:00:00:00:00:00:01,5207,46122,controller
rule_s2_5207_to_46122_out_4,00:00:00:00:00:00:00:02,5207,46122,controller
rule_s3_5207_to_46122_out_1,00:00:00:00:00:00:00:03,5207,46122,controller
rule_s4_5207_to_46122_out_3,00:00:00:00:00:00:00:04,5207,46122,controller
rule_s5_5207_to_46122_out_2,00:00:00:00:00:00:00:05,5207,46122,controller
rule_s1_5208_to_46124_out_2,00:00:00:00:00:00:00:01,5208,46124,controller
rule_s2_5208_to_46124_out_4,00:00:00:00:00:00:00:02,5208,46124,controller
rule_s3_5208_to_46124_out_1,00:00:00:00:00:00:00:03,5208,46124,controller
rule_s4_5208_to_46124_out_3,00:00:00:00:00:00:00:04,5208,46124,controller
rule_s5_5208_to_46124_out_2,00:00:00:00:00:00:00:05,5208,46124,controller
rule_s1_5209_to_46126_out_2,00:00:00:00:00:00:00:01,5209,46126,controller
rule_s2_5209_to_46126_out_4,00:00:00:00:00:00:00:02,5209,46126,controller
rule_s3_5209_to_46126_out_1,00:00:00:00:00:00:00:03,5209,46126,controller
rule_s4_5209_to_46126_out_3,00:00:00:00:00:00:00:04,5209,46126,controller
rule_s5_5209_to_46126_out_2,00:00:00:00:00:00:00:05,5209,46126,controller
rule_s1_5210_to_46128_out_2,00:00:00:00:00:00:00:01,5210,46128,controller
rule_s2_5210_to_46128_out_4,00:00:00:00:00:00:00:02,5210,46128,controller
rule_s3_5210_to_46128_out_1,00:00:00:00:00:00:00:03,5210,46128,controller
rule_s4_5210_to_46128_out_3,00:00:00:00:00:00:00:04,5210,46128,controller
rule_s5_5210_to_46128_out_2,00:00:00:00:00:00:00:05,5210,46128,controller
