timeslot;flow_id;packet_count;byte_count;duration_sec;idle_timeout_s;hard_timeout_s;priority
10;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-5;24857;1640570;4;5;0;1
10;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-2;108628;6201604680;4;5;0;1
10;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-1;108627;6201604606;4;5;0;1
10;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-3;24856;1640496;4;5;0;1
10;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-3;108628;6201604680;4;5;0;1
10;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-1;24856;1640496;4;5;0;1
11;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-5;66641;4398314;10;5;0;1
11;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-2;290773;16606761458;10;5;0;1
11;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-1;290772;16606761384;10;5;0;1
11;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-3;66640;4398240;10;5;0;1
11;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-3;290773;16606761458;10;5;0;1
11;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-1;66640;4398240;10;5;0;1
12;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-5;112818;7445996;16;5;0;1
12;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-2;492311;28120949846;16;5;0;1
12;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-1;492310;28120949772;16;5;0;1
12;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-3;112817;7445922;16;5;0;1
12;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-3;492311;28120949846;16;5;0;1
12;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-1;112817;7445922;16;5;0;1
13;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-5;165460;10920368;22;5;0;1
13;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-2;721807;41227452598;22;5;0;1
13;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-1;721806;41227452524;22;5;0;1
13;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-3;165459;10920294;22;5;0;1
13;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-3;721807;41227452598;22;5;0;1
13;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-1;165459;10920294;22;5;0;1
14;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-5;220060;14523968;28;5;0;1
14;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-2;959924;54827590768;28;5;0;1
14;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-1;959923;54827590694;28;5;0;1
14;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-3;220059;14523894;28;5;0;1
14;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-3;959924;54827590768;28;5;0;1
14;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-1;220059;14523894;28;5;0;1
15;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-5;261716;17273264;34;5;0;1
15;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-2;1141803;65217750518;34;5;0;1
15;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-1;1141802;65217750444;34;5;0;1
15;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-3;261715;17273190;34;5;0;1
15;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-3;1141803;65217750518;34;5;0;1
15;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-1;261715;17273190;34;5;0;1
16;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-5;304903;20123606;40;5;0;1
16;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-2;1330114;75973612692;40;5;0;1
16;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-1;1330113;75973612618;40;5;0;1
16;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-3;304902;20123532;40;5;0;1
16;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-3;1330114;75973612692;40;5;0;1
16;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-1;304902;20123532;40;5;0;1
17;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-5;352556;23268704;46;5;0;1
17;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-2;1537848;87838632624;46;5;0;1
17;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-1;1537847;87838632550;46;5;0;1
17;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-3;352555;23268630;46;5;0;1
17;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-3;1537848;87838632624;46;5;0;1
17;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-1;352555;23268630;46;5;0;1
18;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-5;385708;25456736;52;5;0;1
18;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-2;1682524;96103985112;52;5;0;1
18;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-1;1682523;96103985038;52;5;0;1
18;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-3;385707;25456662;52;5;0;1
18;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-3;1682524;96103985112;52;5;0;1
18;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-1;385707;25456662;52;5;0;1
