switch_id0,eth_dst0,eth_src0,eth_type0,ipv4_src0,ipv4_dst0,in_port0,packet_count0,byte_count0,duration_sec0,idle_timeout_s0,hard_timeout_s0,priority0,switch_id1,eth_dst1,eth_src1,eth_type1,ipv4_src1,ipv4_dst1,in_port1,packet_count1,byte_count1,duration_sec1,idle_timeout_s1,hard_timeout_s1,priority1,switch_id2,eth_dst2,eth_src2,eth_type2,ipv4_src2,ipv4_dst2,in_port2,packet_count2,byte_count2,duration_sec2,idle_timeout_s2,hard_timeout_s2,priority2,switch_id3,eth_dst3,eth_src3,eth_type3,ipv4_src3,ipv4_dst3,in_port3,packet_count3,byte_count3,duration_sec3,idle_timeout_s3,hard_timeout_s3,priority3,switch_id4,eth_dst4,eth_src4,eth_type4,ipv4_src4,ipv4_dst4,in_port4,packet_count4,byte_count4,duration_sec4,idle_timeout_s4,hard_timeout_s4,priority4,switch_id5,eth_dst5,eth_src5,eth_type5,ipv4_src5,ipv4_dst5,in_port5,packet_count5,byte_count5,duration_sec5,idle_timeout_s5,hard_timeout_s5,priority5,switch_id6,eth_dst6,eth_src6,eth_type6,ipv4_src6,ipv4_dst6,in_port6,packet_count6,byte_count6,duration_sec6,idle_timeout_s6,hard_timeout_s6,priority6,switch_id7,eth_dst7,eth_src7,eth_type7,ipv4_src7,ipv4_dst7,in_port7,packet_count7,byte_count7,duration_sec7,idle_timeout_s7,hard_timeout_s7,priority7,switch_id8,eth_dst8,eth_src8,eth_type8,ipv4_src8,ipv4_dst8,in_port8,packet_count8,byte_count8,duration_sec8,idle_timeout_s8,hard_timeout_s8,priority8,switch_id9,eth_dst9,eth_src9,eth_type9,ipv4_src9,ipv4_dst9,in_port9,packet_count9,byte_count9,duration_sec9,idle_timeout_s9,hard_timeout_s9,priority9,switch_id10,eth_dst10,eth_src10,eth_type10,ipv4_src10,ipv4_dst10,in_port10,packet_count10,byte_count10,duration_sec10,idle_timeout_s10,hard_timeout_s10,priority10,switch_id11,eth_dst11,eth_src11,eth_type11,ipv4_src11,ipv4_dst11,in_port11,packet_count11,byte_count11,duration_sec11,idle_timeout_s11,hard_timeout_s11,priority11,switch_id12,eth_dst12,eth_src12,eth_type12,ipv4_src12,ipv4_dst12,in_port12,packet_count12,byte_count12,duration_sec12,idle_timeout_s12,hard_timeout_s12,priority12,switch_id13,eth_dst13,eth_src13,eth_type13,ipv4_src13,ipv4_dst13,in_port13,packet_count13,byte_count13,duration_sec13,idle_timeout_s13,hard_timeout_s13,priority13,switch_id14,eth_dst14,eth_src14,eth_type14,ipv4_src14,ipv4_dst14,in_port14,packet_count14,byte_count14,duration_sec14,idle_timeout_s14,hard_timeout_s14,priority14
2,3,1,800,1,3,2,9922206,522392117220,294,5,0,1,1,3,1,800,1,3,1,9922205,522392117146,294,5,0,1,2,3,1,800,1,3,2,9991452,526347388304,296,5,0,1,1,3,1,800,1,3,1,9991451,526347388230,296,5,0,1,2,3,1,800,1,3,2,10060016,530263157640,298,5,0,1,1,3,1,800,1,3,1,10060015,530263157566,298,5,0,1,2,3,1,800,1,3,2,10130263,534275492958,300,5,0,1,1,3,1,800,1,3,1,10130262,534275492884,300,5,0,1,2,3,1,800,1,3,2,10189802,537675579108,302,5,0,1,1,3,1,800,1,3,1,10189801,537675579034,302,5,0,1,2,3,1,800,1,3,2,10257291,541531981350,304,5,0,1,1,3,1,800,1,3,1,10257290,541531981276,304,5,0,1,2,3,1,800,1,3,2,10325018,545400569540,306,5,0,1,1,3,1,800,1,3,1,10325017,545400569466,306,5,0,1,2,3,1,800,1,3,2,10391761,549212143170,308,5,0,1
1,1,2,800,2,1,3,22646,1288103220,1,5,0,1,6,1,2,800,2,1,1,22645,1288103146,1,5,0,1,5,1,2,800,2,1,5,134656,7682654600,3,5,0,1,1,1,2,800,2,1,3,134656,7682654600,3,5,0,1,6,1,2,800,2,1,1,134655,7682654526,3,5,0,1,5,1,2,800,2,1,5,247156,14104568464,5,5,0,1,1,1,2,800,2,1,3,247156,14104568464,5,5,0,1,6,1,2,800,2,1,1,247155,14104568390,5,5,0,1,5,1,2,800,2,1,5,357786,20419471532,7,5,0,1,1,1,2,800,2,1,3,357786,20419471532,7,5,0,1,6,1,2,800,2,1,1,357785,20419471458,7,5,0,1,5,1,2,800,2,1,5,458359,26161655638,9,5,0,1,1,1,2,800,2,1,3,458359,26161655638,9,5,0,1,6,1,2,800,2,1,1,458358,26161655564,9,5,0,1,5,1,2,800,2,1,5,531324,30329201992,11,5,0,1
5,2,1,800,1,2,2,73197,4171790778,2,5,0,1,1,2,1,800,1,2,1,73196,4171790704,2,5,0,1,6,2,1,800,1,2,3,73197,4171790778,2,5,0,1,5,2,1,800,1,2,2,167161,9537341986,4,5,0,1,1,2,1,800,1,2,1,167160,9537341912,4,5,0,1,6,2,1,800,1,2,3,167161,9537341986,4,5,0,1,5,2,1,800,1,2,2,265959,15178698182,6,5,0,1,1,2,1,800,1,2,1,265958,15178698108,6,5,0,1,6,2,1,800,1,2,3,265959,15178698182,6,5,0,1,5,2,1,800,1,2,2,360408,20571579744,8,5,0,1,1,2,1,800,1,2,1,360407,20571579670,8,5,0,1,6,2,1,800,1,2,3,360408,20571579744,8,5,0,1,5,2,1,800,1,2,2,460383,26279287134,10,5,0,1,1,2,1,800,1,2,1,460382,26279287060,10,5,0,1,6,2,1,800,1,2,3,460383,26279287134,10,5,0,1
2,2,3,800,3,2,1,31591,1805482390,1,5,0,1,6,2,3,800,3,2,3,31592,1805482464,1,5,0,1,5,2,3,800,3,2,3,130586,7457815460,3,5,0,1,2,2,3,800,3,2,1,130585,7457815386,3,5,0,1,6,2,3,800,3,2,3,130586,7457815460,3,5,0,1,5,2,3,800,3,2,3,229024,13077843384,5,5,0,1,2,2,3,800,3,2,1,229023,13077843310,5,5,0,1,6,2,3,800,3,2,3,229024,13077843384,5,5,0,1,5,2,3,800,3,2,3,325700,18597350472,7,5,0,1,2,2,3,800,3,2,1,325699,18597350398,7,5,0,1,6,2,3,800,3,2,3,325700,18597350472,7,5,0,1,5,2,3,800,3,2,3,423966,24207534988,9,5,0,1,2,2,3,800,3,2,1,423965,24207534914,9,5,0,1,6,2,3,800,3,2,3,423966,24207534988,9,5,0,1,5,2,3,800,3,2,3,515492,29433665472,11,5,0,1
6,4,2,800,2,4,1,35396,2011857200,1,5,0,1,4,4,2,800,2,4,4,148608,8474388664,3,5,0,1,6,4,2,800,2,4,1,148607,8474388590,3,5,0,1,4,4,2,800,2,4,4,261892,14942295744,5,5,0,1,6,4,2,800,2,4,1,261891,14942295670,5,5,0,1,4,4,2,800,2,4,4,377453,21539162610,7,5,0,1,6,4,2,800,2,4,1,377452,21539162536,7,5,0,1,4,4,2,800,2,4,4,492163,28087302086,9,5,0,1,6,4,2,800,2,4,1,492162,28087302012,9,5,0,1,4,4,2,800,2,4,4,592015,33789235422,11,5,0,1,6,4,2,800,2,4,1,592014,33789235348,11,5,0,1,4,4,2,800,2,4,4,687266,39228782796,13,5,0,1,6,4,2,800,2,4,1,687265,39228782722,13,5,0,1,4,4,2,800,2,4,4,776778,44341515812,15,5,0,1,6,4,2,800,2,4,1,776777,44341515738,15,5,0,1
2,2,3,800,3,2,1,62659,3576177214,1,5,0,1,3,2,3,800,3,2,2,62660,3576177288,1,5,0,1,6,2,3,800,3,2,2,62660,3576177288,1,5,0,1,4,2,3,800,3,2,2,171822,9807729852,3,5,0,1,2,2,3,800,3,2,1,171821,9807729778,3,5,0,1,3,2,3,800,3,2,2,171822,9807729852,3,5,0,1,6,2,3,800,3,2,2,171822,9807729852,3,5,0,1,4,2,3,800,3,2,2,282331,16116129062,5,5,0,1,2,2,3,800,3,2,1,282330,16116128988,5,5,0,1,3,2,3,800,3,2,2,282331,16116129062,5,5,0,1,6,2,3,800,3,2,2,282331,16116129062,5,5,0,1,4,2,3,800,3,2,2,376646,21499695148,7,5,0,1,2,2,3,800,3,2,1,376645,21499695074,7,5,0,1,3,2,3,800,3,2,2,376646,21499695148,7,5,0,1,6,2,3,800,3,2,2,376646,21499695148,7,5,0,1
1,1,2,800,2,1,3,15153,864508786,0,5,0,1,6,1,2,800,2,1,1,15152,864508712,0,5,0,1,5,1,2,800,2,1,5,128453,7332485378,2,5,0,1,1,1,2,800,2,1,3,128453,7332485378,2,5,0,1,6,1,2,800,2,1,1,128452,7332485304,2,5,0,1,5,1,2,800,2,1,5,243646,13907955476,4,5,0,1,1,1,2,800,2,1,3,243646,13907955476,4,5,0,1,6,1,2,800,2,1,1,243645,13907955402,4,5,0,1,5,1,2,800,2,1,5,360132,20558038840,6,5,0,1,1,1,2,800,2,1,3,360132,20558038840,6,5,0,1,6,1,2,800,2,1,1,360131,20558038766,6,5,0,1,5,1,2,800,2,1,5,478236,27299743856,8,5,0,1,1,1,2,800,2,1,3,478236,27299743856,8,5,0,1,6,1,2,800,2,1,1,478235,27299743782,8,5,0,1,5,1,2,800,2,1,5,590818,33727096484,10,5,0,1
6,2,3,800,3,2,2,3012916,171997544328,57,5,0,1,4,2,3,800,3,2,2,3012916,171997544328,59,5,0,1,2,2,3,800,3,2,1,3012915,171997544254,59,5,0,1,3,2,3,800,3,2,2,3012916,171997544328,59,5,0,1,6,2,3,800,3,2,2,3012916,171997544328,59,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,3,800,3,2,3,2825719,152834520798,61,5,0,1,5,2,3,800,3,2,2,2895227,156085625182,63,5,0,1,2,2,3,800,3,2,1,2895226,156085625108,63,5,0,1,1,2,3,800,3,2,2,2895227,156085625182,63,5,0,1,6,2,3,800,3,2,3,2895227,156085625182,63,5,0,1,5,2,3,800,3,2,2,2970087,160362673806,65,5,0,1,2,2,3,800,3,2,1,2970086,160362673732,65,5,0,1,1,2,3,800,3,2,2,2970087,160362673806,65,5,0,1,6,2,3,800,3,2,3,2970087,160362673806,65,5,0,1,5,2,3,800,3,2,2,3009071,162484760390,67,5,0,1,2,2,3,800,3,2,1,3009070,162484760316,67,5,0,1,1,2,3,800,3,2,2,3009071,162484760390,67,5,0,1,6,2,3,800,3,2,3,3009071,162484760390,67,5,0,1,5,2,3,800,3,2,2,3096785,167506460690,69,5,0,1,2,2,3,800,3,2,1,3096784,167506460616,69,5,0,1
6,4,2,800,2,4,1,13414,765360660,0,5,0,1,4,4,2,800,2,4,4,79872,4561675544,2,5,0,1,6,4,2,800,2,4,1,79871,4561675470,2,5,0,1,4,4,2,800,2,4,4,147761,8439071138,4,5,0,1,6,4,2,800,2,4,1,147760,8439071064,4,5,0,1,4,4,2,800,2,4,4,215599,12313665518,6,5,0,1,6,4,2,800,2,4,1,215598,12313665444,6,5,0,1,4,4,2,800,2,4,4,283235,16176249062,8,5,0,1,6,4,2,800,2,4,1,283234,16176248988,8,5,0,1,4,4,2,800,2,4,4,350581,20022397178,10,5,0,1,6,4,2,800,2,4,1,350580,20022397104,10,5,0,1,4,4,2,800,2,4,4,418145,23882235498,12,5,0,1,6,4,2,800,2,4,1,418144,23882235424,12,5,0,1,4,4,2,800,2,4,4,481113,27478742458,14,5,0,1,6,4,2,800,2,4,1,481112,27478742384,14,5,0,1
2,4,3,800,3,4,1,41008,2341342240,1,5,0,1,3,4,3,800,3,4,2,41009,2341342314,1,5,0,1,4,4,3,800,3,4,2,103947,5936203182,3,5,0,1,2,4,3,800,3,4,1,103946,5936203108,3,5,0,1,3,4,3,800,3,4,2,103947,5936203182,3,5,0,1,4,4,3,800,3,4,2,168641,9631461186,5,5,0,1,2,4,3,800,3,4,1,168640,9631461112,5,5,0,1,3,4,3,800,3,4,2,168641,9631461186,5,5,0,1,4,4,3,800,3,4,2,232679,13288297198,7,5,0,1,2,4,3,800,3,4,1,232678,13288297124,7,5,0,1,3,4,3,800,3,4,2,232679,13288297198,7,5,0,1,4,4,3,800,3,4,2,297573,16994587682,9,5,0,1,2,4,3,800,3,4,1,297572,16994587608,9,5,0,1,3,4,3,800,3,4,2,297573,16994587682,9,5,0,1,4,4,3,800,3,4,2,363581,20764475450,11,5,0,1
1,2,1,800,1,2,1,28654,1631281172,0,5,0,1,6,2,1,800,1,2,3,28655,1631281246,0,5,0,1,5,2,1,800,1,2,2,138433,7898479738,2,5,0,1,1,2,1,800,1,2,1,138432,7898479664,2,5,0,1,6,2,1,800,1,2,3,138433,7898479738,2,5,0,1,5,2,1,800,1,2,2,250238,14281423956,4,5,0,1,1,2,1,800,1,2,1,250237,14281423882,4,5,0,1,6,2,1,800,1,2,3,250238,14281423956,4,5,0,1,5,2,1,800,1,2,2,360816,20594173312,6,5,0,1,1,2,1,800,1,2,1,360815,20594173238,6,5,0,1,6,2,1,800,1,2,3,360816,20594173312,6,5,0,1,5,2,1,800,1,2,2,475261,27127452354,8,5,0,1,1,2,1,800,1,2,1,475260,27127452280,8,5,0,1,6,2,1,800,1,2,3,475261,27127452354,8,5,0,1,5,2,1,800,1,2,2,588993,33620141426,10,5,0,1
5,1,2,800,2,1,5,15075713,859988456290,292,5,0,1,1,1,2,800,2,1,3,15075713,859988456290,292,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4,2,800,2,4,1,14681,684050322,0,5,0,1,4,4,2,800,2,4,4,70714,3584635940,2,5,0,1,6,4,2,800,2,4,1,70713,3584635866,2,5,0,1,4,4,2,800,2,4,4,115521,5759823994,4,5,0,1,6,4,2,800,2,4,1,115520,5759823920,4,5,0,1,4,4,2,800,2,4,4,132041,6693911026,6,5,0,1,6,4,2,800,2,4,1,132040,6693910952,6,5,0,1,4,4,2,800,2,4,4,173870,8589219596,8,5,0,1,6,4,2,800,2,4,1,173869,8589219522,8,5,0,1,4,4,2,800,2,4,4,217130,10918140492,10,5,0,1,6,4,2,800,2,4,1,217129,10918140418,10,5,0,1,4,4,2,800,2,4,4,245013,12429481170,13,5,0,1,6,4,2,800,2,4,1,245012,12429481096,13,5,0,1,4,4,2,800,2,4,4,280177,14426085354,15,5,0,1,6,4,2,800,2,4,1,280176,14426085280,15,5,0,1
2,2,3,800,3,2,1,1,66,0,5,0,1,2,2,3,800,3,2,1,3777978,214997711372,88,5,0,1,6,2,3,800,3,2,3,3777979,214997711446,88,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,3,800,3,4,1,27335,1559175174,1,5,0,1,3,4,3,800,3,4,2,27336,1559175248,1,5,0,1,4,4,3,800,3,4,2,91649,5232464186,3,5,0,1,2,4,3,800,3,4,1,91648,5232464112,3,5,0,1,3,4,3,800,3,4,2,91649,5232464186,3,5,0,1,4,4,3,800,3,4,2,151842,8671070684,5,5,0,1,2,4,3,800,3,4,1,151841,8671070610,5,5,0,1,3,4,3,800,3,4,2,151842,8671070684,5,5,0,1,4,4,3,800,3,4,2,215968,12333953560,7,5,0,1,2,4,3,800,3,4,1,215967,12333953486,7,5,0,1,3,4,3,800,3,4,2,215968,12333953560,7,5,0,1,4,4,3,800,3,4,2,281533,16078661778,9,5,0,1,2,4,3,800,3,4,1,281532,16078661704,9,5,0,1,3,4,3,800,3,4,2,281533,16078661778,9,5,0,1,4,4,3,800,3,4,2,346537,19792510842,11,5,0,1
1,3,1,800,1,3,1,42704,2439593112,2,5,0,1,2,3,1,800,1,3,2,110028,6284530304,4,5,0,1,1,3,1,800,1,3,1,110027,6284530230,4,5,0,1,2,3,1,800,1,3,2,178307,10183956166,6,5,0,1,1,3,1,800,1,3,1,178306,10183956092,6,5,0,1,2,3,1,800,1,3,2,246322,14067833764,8,5,0,1,1,3,1,800,1,3,1,246321,14067833690,8,5,0,1,2,3,1,800,1,3,2,313466,17903561116,10,5,0,1,1,3,1,800,1,3,1,313465,17903561042,10,5,0,1,2,3,1,800,1,3,2,379633,21682165322,12,5,0,1,1,3,1,800,1,3,1,379632,21682165248,12,5,0,1,2,3,1,800,1,3,2,448490,25614424364,14,5,0,1,1,3,1,800,1,3,1,448489,25614424290,14,5,0,1,2,3,1,800,1,3,2,517018,29527953532,16,5,0,1,1,3,1,800,1,3,1,517017,29527953458,16,5,0,1
1,2,1,800,1,2,1,1,66,0,5,0,1,6,2,1,800,1,2,3,1,74,0,5,0,1,5,2,1,800,1,2,2,65398,3730532820,2,5,0,1,1,2,1,800,1,2,1,65397,3730532746,2,5,0,1,6,2,1,800,1,2,3,65398,3730532820,2,5,0,1,5,2,1,800,1,2,2,147478,8418548972,4,5,0,1,1,2,1,800,1,2,1,147477,8418548898,4,5,0,1,6,2,1,800,1,2,3,147478,8418548972,4,5,0,1,5,2,1,800,1,2,2,240764,13746259424,6,5,0,1,1,2,1,800,1,2,1,240763,13746259350,6,5,0,1,6,2,1,800,1,2,3,240764,13746259424,6,5,0,1,5,2,1,800,1,2,2,307017,17533677930,8,5,0,1,1,2,1,800,1,2,1,307016,17533677856,8,5,0,1,6,2,1,800,1,2,3,307017,17533677930,8,5,0,1,5,2,1,800,1,2,2,448091,25589865182,10,5,0,1
1,2,1,800,1,2,1,1,66,0,5,0,1,1,2,1,800,1,2,1,15064529,859987718138,277,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,3,800,3,1,1,103219,5890365614,2,5,0,1,1,1,3,800,3,1,2,103220,5890365688,2,5,0,1,2,1,3,800,3,1,1,220703,12596900582,4,5,0,1,1,1,3,800,3,1,2,220704,12596900656,4,5,0,1,2,1,3,800,3,1,1,341280,19480122256,6,5,0,1,1,1,3,800,3,1,2,341281,19480122330,6,5,0,1,2,1,3,800,3,1,1,461665,26352311354,8,5,0,1,1,1,3,800,3,1,2,461666,26352311428,8,5,0,1,2,1,3,800,3,1,1,579720,33091843712,10,5,0,1,1,1,3,800,3,1,2,579721,33091843786,10,5,0,1,2,1,3,800,3,1,1,697982,39843323836,12,5,0,1,1,1,3,800,3,1,2,697983,39843323910,12,5,0,1,2,1,3,800,3,1,1,815719,46564824670,14,5,0,1,1,1,3,800,3,1,2,815720,46564824744,14,5,0,1,2,1,3,800,3,1,1,933103,53266931766,16,5,0,1
6,4,2,800,2,4,1,6367,359749558,0,5,0,1,4,4,2,800,2,4,4,74848,4271132592,2,5,0,1,6,4,2,800,2,4,1,74847,4271132518,2,5,0,1,4,4,2,800,2,4,4,143608,8198937520,4,5,0,1,6,4,2,800,2,4,1,143607,8198937446,4,5,0,1,4,4,2,800,2,4,4,210730,12031338924,6,5,0,1,6,4,2,800,2,4,1,210729,12031338850,6,5,0,1,4,4,2,800,2,4,4,278446,15899926500,8,5,0,1,6,4,2,800,2,4,1,278445,15899926426,8,5,0,1,4,4,2,800,2,4,4,345609,19735583594,10,5,0,1,6,4,2,800,2,4,1,345608,19735583520,10,5,0,1,4,4,2,800,2,4,4,412243,23541737606,12,5,0,1,6,4,2,800,2,4,1,412242,23541737532,12,5,0,1,4,4,2,800,2,4,4,480958,27466233236,14,5,0,1,6,4,2,800,2,4,1,480957,27466233162,14,5,0,1
6,2,1,800,1,2,3,5449394,307785243724,136,5,0,1,5,2,1,800,1,2,2,5538802,312891283012,138,5,0,1,1,2,1,800,1,2,1,5538801,312891282938,138,5,0,1,6,2,1,800,1,2,3,5538802,312891283012,138,5,0,1,5,2,1,800,1,2,2,5638668,318593020432,140,5,0,1,1,2,1,800,1,2,1,5638667,318593020358,140,5,0,1,6,2,1,800,1,2,3,5638668,318593020432,140,5,0,1,5,2,1,800,1,2,2,5731210,323877595988,142,5,0,1,1,2,1,800,1,2,1,5731209,323877595914,142,5,0,1,6,2,1,800,1,2,3,5731210,323877595988,142,5,0,1,5,2,1,800,1,2,2,5840278,330104268148,144,5,0,1,1,2,1,800,1,2,1,5840277,330104268074,144,5,0,1,6,2,1,800,1,2,3,5840278,330104268148,144,5,0,1,5,2,1,800,1,2,2,5932199,335353873622,146,5,0,1,1,2,1,800,1,2,1,5932198,335353873548,146,5,0,1
1,3,1,800,1,3,1,33111,1890561966,1,5,0,1,2,3,1,800,1,3,2,104356,5958823648,3,5,0,1,1,3,1,800,1,3,1,104355,5958823574,3,5,0,1,2,3,1,800,1,3,2,173451,9904275830,5,5,0,1,1,3,1,800,1,3,1,173450,9904275756,5,5,0,1,2,3,1,800,1,3,2,243001,13876455234,7,5,0,1,1,3,1,800,1,3,1,243000,13876455160,7,5,0,1,2,3,1,800,1,3,2,312467,17844914238,9,5,0,1,1,3,1,800,1,3,1,312466,17844914164,9,5,0,1,2,3,1,800,1,3,2,381858,21808424196,11,5,0,1,1,3,1,800,1,3,1,381857,21808424122,11,5,0,1,2,3,1,800,1,3,2,451429,25781194722,13,5,0,1,1,3,1,800,1,3,1,451428,25781194648,13,5,0,1,2,3,1,800,1,3,2,522582,29844578660,15,5,0,1,1,3,1,800,1,3,1,522581,29844578586,15,5,0,1
1,3,1,800,1,3,1,9410655,537492015254,278,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,3,800,3,1,2,86692,4949223720,1,5,0,1,2,1,3,800,3,1,1,204332,11665079632,3,5,0,1,1,1,3,800,3,1,2,204333,11665079706,3,5,0,1,2,1,3,800,3,1,1,323613,18474825930,5,5,0,1,1,1,3,800,3,1,2,323614,18474826004,5,5,0,1,2,1,3,800,3,1,1,376604,21499692368,7,5,0,1,1,1,3,800,3,1,2,376605,21499692442,7,5,0,1,2,1,3,800,3,1,1,376604,21499692368,9,5,0,1,1,1,3,800,3,1,2,376605,21499692442,9,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
